



sintaxi;pmpknpi;open;Deleted user;Tue Jan 21 16:11:11 BRST 2014;null;627;
mislav;will_paginate;closed;Christopher H. Laco;Fri Jan 27 16:20:42 BRST 2012;Thu Jan 10 12:22:52 BRST 2013;348;
mislav;will_paginate;closed;Andrea Campolonghi;Wed Jan 11 13:57:02 BRST 2012;Wed Jan 07 18:36:43 BRST 2015;1092;
mislav;will_paginate;closed;Steve Richert;Tue Jan 10 15:45:29 BRST 2012;Tue Jan 10 17:18:11 BRST 2012;0;
mislav;will_paginate;closed;Greg Gard;Tue Jan 10 00:27:28 BRST 2012;Tue Jan 10 14:27:43 BRST 2012;0;
mislav;will_paginate;closed;John Kelly;Mon Jan 09 21:36:45 BRST 2012;Mon Jan 09 22:07:11 BRST 2012;0;
mislav;will_paginate;closed;null;Mon Jan 09 01:27:20 BRST 2012;Tue Jan 31 21:06:52 BRST 2012;22;
mislav;will_paginate;closed;Jon Seidel;Sun Jan 01 14:39:13 BRST 2012;Mon Jan 02 15:06:46 BRST 2012;1;
mislav;will_paginate;closed;null;Wed Dec 28 19:00:06 BRST 2011;Tue Jan 31 21:06:25 BRST 2012;34;
mislav;will_paginate;closed;Calvin Correli;Sat Dec 24 13:40:13 BRST 2011;Tue Jan 31 20:18:15 BRST 2012;38;
mislav;will_paginate;open;Jun Wu;Wed Dec 21 01:11:52 BRST 2011;null;1389;
mislav;will_paginate;closed;Keating;Mon Dec 19 05:27:18 BRST 2011;Mon Dec 19 11:38:45 BRST 2011;0;
mislav;will_paginate;closed;Matt Spendlove;Thu Dec 15 10:32:45 BRST 2011;Fri Dec 16 10:49:10 BRST 2011;1;
mislav;will_paginate;closed;null;Tue Dec 13 16:34:18 BRST 2011;Mon Jan 09 22:20:16 BRST 2012;27;
mislav;will_paginate;closed;Simon Szustkowski;Thu Dec 08 20:18:16 BRST 2011;Tue Dec 20 10:44:23 BRST 2011;11;
mislav;will_paginate;closed;Nicolas Buduroi;Sat Dec 03 20:24:55 BRST 2011;Thu Jan 10 11:30:52 BRST 2013;403;
mislav;will_paginate;closed;Ryan Hall;Fri Dec 02 20:53:09 BRST 2011;Tue Jan 31 19:35:53 BRST 2012;59;
mislav;will_paginate;closed;Brad Seefeld;Fri Dec 02 14:52:41 BRST 2011;Thu Jan 10 01:08:12 BRST 2013;404;
mislav;will_paginate;closed;José Valim;Fri Dec 02 06:48:15 BRST 2011;Tue Dec 20 10:39:19 BRST 2011;18;
mislav;will_paginate;closed;null;Thu Dec 01 04:20:50 BRST 2011;Tue Dec 20 10:53:09 BRST 2011;19;
mislav;will_paginate;closed;Kristoffer Berdal;Tue Nov 29 11:42:29 BRST 2011;Tue Jan 31 21:04:25 BRST 2012;63;
mislav;will_paginate;closed;Ravenna ;Sun Nov 27 02:45:18 BRST 2011;Sun Nov 27 21:49:32 BRST 2011;0;
mislav;will_paginate;open;Mathieu Patureau;Thu Nov 17 21:29:26 BRST 2011;null;1422;
mislav;will_paginate;closed;Néstor Coppi;Thu Nov 17 20:58:07 BRST 2011;Tue Dec 20 10:48:50 BRST 2011;32;
mislav;will_paginate;closed;null;Wed Nov 16 00:33:44 BRST 2011;Thu Jan 10 01:20:35 BRST 2013;421;
mislav;will_paginate;open;Dmitri Koulikoff;Sun Nov 13 09:40:57 BRST 2011;null;1427;
mislav;will_paginate;open;Tim Cull;Fri Nov 11 19:53:18 BRST 2011;null;1429;
mislav;will_paginate;closed;Anton Maminov;Thu Nov 10 11:34:07 BRST 2011;Tue Jan 31 20:18:15 BRST 2012;82;
mislav;will_paginate;closed;Andrew Theis;Tue Nov 08 20:06:53 BRST 2011;Thu Jan 10 13:39:06 BRST 2013;428;
mislav;will_paginate;closed;null;Mon Nov 07 08:02:23 BRST 2011;Tue Dec 20 10:46:34 BRST 2011;43;
mislav;will_paginate;open;Paul A Jungwirth;Sat Oct 29 14:46:26 BRST 2011;null;1442;
mislav;will_paginate;closed;David Backeus;Mon Oct 24 09:46:11 BRST 2011;Wed Feb 06 00:07:24 BRST 2013;470;
mislav;will_paginate;closed;Fieloux;Wed Oct 12 05:24:22 BRT 2011;Wed Oct 12 06:08:19 BRT 2011;0;
mislav;will_paginate;closed;null;Tue Oct 04 23:22:55 BRT 2011;Wed Oct 05 09:18:38 BRT 2011;0;
mislav;will_paginate;closed;Corin Langosch;Tue Oct 04 17:57:42 BRT 2011;Tue Oct 04 19:04:53 BRT 2011;0;
mislav;will_paginate;closed;Emili Parreno;Tue Oct 04 07:19:20 BRT 2011;Tue Oct 04 19:33:50 BRT 2011;0;
mislav;will_paginate;closed;Emili Parreno;Tue Oct 04 07:18:39 BRT 2011;Wed Oct 12 13:57:18 BRT 2011;8;
mislav;will_paginate;closed;Rob van Dijk;Tue Sep 27 02:20:48 BRT 2011;Tue Sep 27 10:17:45 BRT 2011;0;
mislav;will_paginate;closed;Rob van Dijk;Mon Sep 26 04:01:31 BRT 2011;Tue Sep 27 10:18:54 BRT 2011;1;
mislav;will_paginate;closed;null;Sat Sep 24 06:00:47 BRT 2011;Mon Sep 26 14:48:11 BRT 2011;2;
mislav;will_paginate;closed;Lorenzo Manacorda;Fri Sep 16 15:43:44 BRT 2011;Sat Sep 17 10:16:38 BRT 2011;0;
mislav;will_paginate;open;Mario Olivio Flores;Thu Sep 15 14:50:06 BRT 2011;null;1486;
mislav;will_paginate;closed;Franck Verrot;Wed Sep 14 12:14:47 BRT 2011;Wed Sep 14 18:16:35 BRT 2011;0;
mislav;will_paginate;open;Josh Adams;Sat Sep 10 02:59:04 BRT 2011;null;1491;
mislav;will_paginate;closed;Ryan Wong;Fri Sep 09 05:03:48 BRT 2011;Fri Sep 09 05:12:05 BRT 2011;0;
mislav;will_paginate;closed;Greg Weber;Thu Sep 08 16:37:01 BRT 2011;Thu Sep 08 19:44:22 BRT 2011;0;
mislav;will_paginate;closed;Geoffrey Hichborn;Thu Sep 08 14:37:38 BRT 2011;Thu Sep 08 19:52:39 BRT 2011;0;
mislav;will_paginate;closed;Richard Schneeman;Thu Sep 08 14:00:54 BRT 2011;Thu Sep 08 20:02:19 BRT 2011;0;
mislav;will_paginate;closed;Deleted user;Tue Sep 06 14:15:13 BRT 2011;Thu Sep 15 07:40:53 BRT 2011;8;
mislav;will_paginate;closed;Vitaly Kushner;Tue Sep 06 10:49:09 BRT 2011;Sat Sep 17 12:06:14 BRT 2011;11;
mislav;will_paginate;closed;bitcoinerS;Sun Sep 04 22:27:14 BRT 2011;Tue Sep 06 08:33:16 BRT 2011;1;
mislav;will_paginate;closed;Deleted user;Sat Sep 03 00:21:07 BRT 2011;Sat Sep 03 00:35:25 BRT 2011;0;
mislav;will_paginate;open;Adam;Fri Sep 02 17:43:28 BRT 2011;null;1499;
mislav;will_paginate;closed;Rasmus Bang Grouleff;Fri Sep 02 07:02:58 BRT 2011;Tue Dec 20 10:56:45 BRST 2011;109;
mislav;will_paginate;closed;null;Thu Sep 01 08:45:36 BRT 2011;Thu Sep 01 08:47:31 BRT 2011;0;
mislav;will_paginate;closed;Zach Dennis;Wed Aug 24 18:44:02 BRT 2011;Sat Sep 17 12:06:14 BRT 2011;23;
mislav;will_paginate;closed;Jonathan del Strother;Tue Aug 23 14:48:41 BRT 2011;Tue Aug 23 15:11:21 BRT 2011;0;
mislav;will_paginate;closed;André Rodrigues;Mon Aug 22 15:27:46 BRT 2011;Thu Sep 08 19:52:08 BRT 2011;17;
mislav;will_paginate;open;Zach Dennis;Mon Aug 22 14:24:31 BRT 2011;null;1510;
mislav;will_paginate;closed;Nick Padgett;Fri Aug 19 00:16:30 BRT 2011;Tue Aug 23 18:26:47 BRT 2011;4;
mislav;will_paginate;closed;Mark Rambow;Thu Aug 18 10:24:49 BRT 2011;Thu Jan 10 02:53:29 BRST 2013;510;
mislav;will_paginate;closed;Michaël Rigart;Thu Aug 18 06:30:25 BRT 2011;Thu Aug 18 07:46:55 BRT 2011;0;
mislav;will_paginate;closed;Raphaël Bastide;Tue Aug 16 15:52:34 BRT 2011;Thu Jan 10 02:54:30 BRST 2013;512;
mislav;will_paginate;closed;Javier Guerra;Tue Aug 16 14:03:49 BRT 2011;Thu Sep 08 19:52:08 BRT 2011;23;
mislav;will_paginate;closed;Javier Guerra;Tue Aug 16 13:26:57 BRT 2011;Sat Sep 17 10:20:14 BRT 2011;31;
mislav;will_paginate;closed;Josh;Mon Aug 15 17:43:54 BRT 2011;Sat Sep 17 12:05:52 BRT 2011;32;
mislav;will_paginate;closed;Deleted user;Mon Aug 15 15:53:11 BRT 2011;Thu Jan 10 02:56:32 BRST 2013;513;
mislav;will_paginate;closed;Deleted user;Mon Aug 15 14:52:37 BRT 2011;Thu Sep 15 07:45:20 BRT 2011;30;
mislav;will_paginate;closed;Ben Pellow;Fri Aug 12 06:43:15 BRT 2011;Fri Aug 12 08:43:01 BRT 2011;0;
mislav;will_paginate;open;Sven Steinheißer;Fri Aug 12 06:10:56 BRT 2011;null;1520;
mislav;will_paginate;closed;Aries Andrada;Thu Aug 11 17:40:21 BRT 2011;Fri Aug 12 08:41:05 BRT 2011;0;
mislav;will_paginate;closed;Dan Herrera;Thu Aug 11 14:21:14 BRT 2011;Fri Aug 12 08:39:38 BRT 2011;0;
mislav;will_paginate;closed;Jeremy Woertink;Wed Aug 10 18:48:30 BRT 2011;Thu Aug 11 06:22:23 BRT 2011;0;
mislav;will_paginate;closed;Diego Plentz;Tue Aug 09 14:05:37 BRT 2011;Tue Aug 09 15:13:36 BRT 2011;0;
mislav;will_paginate;closed;Alexey Artamonov;Mon Aug 08 14:26:41 BRT 2011;Tue Aug 09 11:00:11 BRT 2011;0;
mislav;will_paginate;closed;Ryan;Sun Aug 07 22:45:00 BRT 2011;Tue Aug 23 18:11:40 BRT 2011;15;
mislav;will_paginate;closed;Daniel Teixeira;Sun Aug 07 15:39:36 BRT 2011;Tue Sep 27 10:46:55 BRT 2011;50;
mislav;will_paginate;closed;null;Fri Aug 05 08:36:33 BRT 2011;Sat Aug 06 15:58:19 BRT 2011;1;
mislav;will_paginate;closed;Luiz Gustavo Nogara;Thu Aug 04 17:10:30 BRT 2011;Thu Aug 04 17:29:37 BRT 2011;0;
mislav;will_paginate;closed;Matt Rogish;Mon Aug 01 12:54:35 BRT 2011;Wed Aug 03 11:28:24 BRT 2011;1;
mislav;will_paginate;closed;Man Vuong;Sun Jul 31 14:21:21 BRT 2011;Tue Aug 02 07:45:20 BRT 2011;1;
mislav;will_paginate;closed;Kevin Watt;Fri Jul 29 18:00:12 BRT 2011;Tue Aug 02 14:06:11 BRT 2011;3;
mislav;will_paginate;closed;Mário Freitas;Tue Jul 26 03:44:23 BRT 2011;Tue Jul 26 18:25:53 BRT 2011;0;
mislav;will_paginate;closed;null;Fri Jul 08 18:47:26 BRT 2011;Wed Jul 27 04:31:31 BRT 2011;18;
mislav;will_paginate;closed;Aleksey Kulikov;Fri Jun 17 08:30:58 BRT 2011;Tue Aug 02 09:29:01 BRT 2011;46;
mislav;will_paginate;closed;Enric Lluelles;Wed Jun 15 12:03:47 BRT 2011;Tue Aug 02 08:15:07 BRT 2011;47;
mislav;will_paginate;closed;null;Tue Jun 14 12:43:14 BRT 2011;Wed Jul 27 03:58:26 BRT 2011;42;
mislav;will_paginate;open;Alex Heeton;Thu Jun 09 12:05:51 BRT 2011;null;1584;
mislav;will_paginate;closed;Mohammad Azam;Wed Jun 08 17:33:08 BRT 2011;Tue Jul 26 18:25:22 BRT 2011;48;
mislav;will_paginate;closed;null;Tue Jun 07 05:29:44 BRT 2011;Tue Aug 02 09:18:28 BRT 2011;56;
mislav;will_paginate;closed;Paul Robinson;Thu Jun 02 08:05:09 BRT 2011;Tue Jul 26 18:29:18 BRT 2011;54;
mislav;will_paginate;closed;Ace Suares;Sun May 29 12:05:39 BRT 2011;Thu Jan 10 01:14:37 BRST 2013;591;
mislav;will_paginate;closed;Ace Suares;Sun May 29 11:26:12 BRT 2011;Sun May 29 11:32:34 BRT 2011;0;
mislav;will_paginate;closed;rubyconvict;Fri May 27 07:59:57 BRT 2011;Mon Aug 08 15:41:20 BRT 2011;73;
mislav;will_paginate;closed;null;Wed May 18 18:00:07 BRT 2011;Tue Jun 21 19:12:11 BRT 2011;34;
mislav;will_paginate;open;null;Mon May 16 03:36:58 BRT 2011;null;1608;
mislav;will_paginate;open;Lleïr Borràs Metje;Fri May 13 05:21:08 BRT 2011;null;1611;
mislav;will_paginate;open;Cody Cutrer;Fri Apr 29 16:31:05 BRT 2011;null;1625;
mislav;will_paginate;closed;Mauro;Fri Apr 29 08:04:22 BRT 2011;Tue Aug 02 09:11:46 BRT 2011;95;
mislav;will_paginate;closed;Jack Danger Canty;Sun Apr 17 13:32:38 BRT 2011;Tue Jul 26 18:27:14 BRT 2011;100;
mislav;will_paginate;closed;Guillaume;Thu Apr 14 18:42:15 BRT 2011;Tue Jul 26 18:28:15 BRT 2011;102;
mislav;will_paginate;closed;Phil Cohen;Thu Apr 14 00:46:22 BRT 2011;Tue Aug 02 08:16:04 BRT 2011;110;
mislav;will_paginate;closed;Nazar Hussain;Fri Apr 08 04:38:10 BRT 2011;Wed Aug 10 15:06:25 BRT 2011;124;
mislav;will_paginate;open;null;Mon Apr 04 14:14:13 BRT 2011;null;1650;
mislav;will_paginate;closed;Eric Kolve;Fri Apr 01 18:58:00 BRT 2011;Tue Sep 27 10:45:30 BRT 2011;178;
mislav;will_paginate;open;Andrey Morskov;Thu Mar 31 02:24:10 BRT 2011;null;1654;
mislav;will_paginate;closed;Howard Lin;Thu Mar 24 01:50:40 BRT 2011;Tue Aug 02 09:31:51 BRT 2011;131;
mislav;will_paginate;open;Fábio D. Batista;Tue Mar 22 12:45:45 BRT 2011;null;1663;
mislav;will_paginate;closed;Jonah;Mon Mar 21 22:15:42 BRT 2011;Tue Aug 02 10:28:04 BRT 2011;133;
mislav;will_paginate;closed;Jonah;Mon Mar 21 21:27:34 BRT 2011;Tue Aug 02 10:27:53 BRT 2011;133;
mislav;will_paginate;closed;null;Sun Mar 20 20:08:31 BRT 2011;Wed Aug 10 11:08:58 BRT 2011;142;
mislav;will_paginate;closed;Deleted user;Fri Mar 18 20:26:17 BRT 2011;Sat Jun 18 12:54:09 BRT 2011;91;
mislav;will_paginate;closed;null;Thu Mar 17 23:40:52 BRT 2011;Fri Mar 18 22:31:55 BRT 2011;0;
mislav;will_paginate;closed;Lucas Maxwell;Wed Mar 16 19:20:49 BRT 2011;Thu Jan 10 11:35:02 BRST 2013;665;
mislav;will_paginate;closed;Lucas Maxwell;Wed Mar 16 01:57:52 BRT 2011;Wed Mar 16 19:13:24 BRT 2011;0;
mislav;will_paginate;closed;Artyom Silivonchik;Sat Mar 12 18:56:17 BRT 2011;Thu Jul 28 13:58:30 BRT 2011;137;
mislav;will_paginate;closed;David Cuddeback;Thu Mar 10 21:44:33 BRT 2011;Wed Aug 10 12:19:32 BRT 2011;152;
mislav;will_paginate;closed;hector;Tue Mar 08 15:26:03 BRT 2011;Sat Mar 12 14:58:54 BRT 2011;3;
mislav;will_paginate;closed;Marcin Stecki;Mon Mar 07 06:55:27 BRT 2011;Sat Mar 12 15:02:15 BRT 2011;5;
mislav;will_paginate;closed;Lee Richmond;Sun Feb 27 19:10:30 BRT 2011;Wed Jul 27 04:12:05 BRT 2011;149;
mislav;will_paginate;open;Fabio;Thu Feb 17 06:18:29 BRST 2011;null;1696;
mislav;will_paginate;closed;James Inman;Tue Feb 01 15:15:47 BRST 2011;Tue Aug 09 09:50:08 BRT 2011;188;
mislav;will_paginate;closed;Mike Breen;Mon Jan 31 14:20:42 BRST 2011;Fri Feb 25 11:42:07 BRT 2011;24;
mislav;will_paginate;closed;Laran Evans;Thu Jan 27 04:31:32 BRST 2011;Thu Jan 27 20:34:25 BRST 2011;0;
mislav;will_paginate;closed;Diego Carrion;Mon Jan 24 19:38:41 BRST 2011;Thu Jan 10 01:14:12 BRST 2013;716;
mislav;will_paginate;closed;Alejandro Peláez;Thu Jan 20 17:22:28 BRST 2011;Thu Jul 28 13:53:14 BRT 2011;188;
mislav;will_paginate;closed;Mike Tucker;Thu Jan 13 17:47:06 BRST 2011;Thu Jan 13 17:47:30 BRST 2011;0;
mislav;will_paginate;closed;Mike Tucker;Thu Jan 13 17:45:22 BRST 2011;Wed Jul 27 04:13:35 BRT 2011;194;
mislav;will_paginate;closed;Dave Smylie;Thu Jan 06 22:17:24 BRST 2011;Tue Sep 27 10:47:25 BRT 2011;263;
mislav;will_paginate;closed;Christopher Burnett;Wed Jan 05 19:08:31 BRST 2011;Thu Jan 10 11:40:18 BRST 2013;735;
mislav;will_paginate;closed;null;Fri Dec 17 15:21:39 BRST 2010;Mon Dec 20 07:27:33 BRST 2010;2;
mislav;will_paginate;closed;null;Fri Dec 03 03:39:54 BRST 2010;Fri Dec 17 12:39:05 BRST 2010;14;
mislav;will_paginate;closed;Tobi Knaup;Fri Nov 26 15:52:01 BRST 2010;Tue Aug 02 08:56:24 BRT 2011;248;
mislav;will_paginate;closed;Ayrton De Craene;Thu Nov 25 12:08:37 BRST 2010;Fri Nov 26 22:39:34 BRST 2010;1;
mislav;will_paginate;closed;Fabio Yamate;Thu Nov 25 00:34:00 BRST 2010;Wed Jul 27 05:50:40 BRT 2011;244;
mislav;will_paginate;closed;Eric Wollesen;Tue Nov 23 01:37:21 BRST 2010;Sat Mar 12 15:07:17 BRT 2011;109;
mislav;will_paginate;closed;Larry Sprock;Tue Nov 09 15:06:31 BRST 2010;Sat Mar 12 15:10:52 BRT 2011;123;
mislav;will_paginate;closed;Pavel Pravosud;Tue Nov 09 09:36:52 BRST 2010;Wed Jul 27 04:30:01 BRT 2011;259;
mislav;will_paginate;closed;Leonardo Almeida;Fri Nov 05 16:47:53 BRST 2010;Sun Aug 14 18:29:29 BRT 2011;282;
mislav;will_paginate;open;Manuel Gómez;Tue Nov 02 08:02:04 BRST 2010;null;1803;
mislav;will_paginate;closed;Sudhir Chauhan;Mon Nov 01 15:20:16 BRST 2010;Tue Aug 02 09:04:22 BRT 2011;273;
mislav;will_paginate;closed;Guilherme Silveira;Sun Oct 31 14:16:25 BRST 2010;Thu Jul 28 08:54:56 BRT 2011;269;
mislav;will_paginate;closed;Josh Goebel;Thu Oct 28 16:39:57 BRST 2010;Thu Dec 30 11:09:49 BRST 2010;62;
mislav;will_paginate;closed;Matthew Higgins;Mon Oct 11 17:53:21 BRT 2010;Tue Oct 12 07:57:52 BRT 2010;0;
mislav;will_paginate;closed;null;Thu Oct 07 23:25:37 BRT 2010;Tue Aug 09 11:01:10 BRT 2011;305;
mislav;will_paginate;closed;Jacques Crocker;Tue Oct 05 21:20:40 BRT 2010;Tue Aug 09 10:52:30 BRT 2011;307;
mislav;will_paginate;closed;null;Tue Oct 05 16:42:15 BRT 2010;Tue Aug 09 11:03:51 BRT 2011;307;
mislav;will_paginate;closed;Sebastian Staudt;Tue Oct 05 03:50:20 BRT 2010;Thu Jan 10 00:16:10 BRST 2013;827;
mislav;will_paginate;closed;Steven Spriggs;Mon Oct 04 17:55:43 BRT 2010;Tue Oct 05 13:04:35 BRT 2010;0;
mislav;will_paginate;open;Jonas;Wed Sep 29 09:25:55 BRT 2010;null;1837;
mislav;will_paginate;closed;Deleted user;Sat Sep 25 20:59:27 BRT 2010;Tue Aug 02 09:54:48 BRT 2011;310;
mislav;will_paginate;closed;Víctor Martínez;Thu Sep 23 15:33:28 BRT 2010;Wed Jul 27 04:27:24 BRT 2011;306;
mislav;will_paginate;closed;Ben Woosley;Mon Sep 20 02:47:51 BRT 2010;Sun Sep 26 03:25:46 BRT 2010;6;
mislav;will_paginate;closed;Roman Snitko;Sun Sep 05 16:55:33 BRT 2010;Tue Aug 02 10:29:46 BRT 2011;330;
mislav;will_paginate;closed;Ryan Billingsley;Tue Aug 31 11:30:06 BRT 2010;Tue Aug 31 11:54:06 BRT 2010;0;
mislav;will_paginate;closed;Voloshin Ruslan;Fri Aug 27 05:05:40 BRT 2010;Wed Jul 27 04:05:02 BRT 2011;333;
mislav;will_paginate;closed;null;Tue Aug 24 07:41:58 BRT 2010;Wed Aug 25 14:22:24 BRT 2010;1;
mislav;will_paginate;closed;Matt Brookes;Wed Aug 18 11:06:50 BRT 2010;Wed Aug 10 11:12:28 BRT 2011;357;
mislav;will_paginate;closed;Sebastian Nowak;Fri Aug 13 06:54:31 BRT 2010;Tue Aug 02 14:07:01 BRT 2011;354;
mislav;will_paginate;closed;Neeraj Singh;Thu Aug 12 16:10:13 BRT 2010;Mon Aug 16 03:50:33 BRT 2010;3;
mislav;will_paginate;closed;Neeraj Singh;Thu Aug 12 11:03:47 BRT 2010;Thu Aug 12 13:45:39 BRT 2010;0;
mislav;will_paginate;closed;Simon Hürlimann;Mon Aug 09 05:45:57 BRT 2010;Mon Aug 09 11:17:57 BRT 2010;0;
mislav;will_paginate;closed;Simon Hürlimann;Mon Aug 09 05:21:22 BRT 2010;Mon Aug 09 12:00:03 BRT 2010;0;
mislav;will_paginate;closed;Matt Haley;Wed Aug 04 18:27:41 BRT 2010;Wed Aug 10 12:07:03 BRT 2011;370;
mislav;will_paginate;closed;Francisco Sáez;Thu Jul 29 15:30:20 BRT 2010;Tue Aug 09 10:59:38 BRT 2011;375;
mislav;will_paginate;closed;Deleted user;Thu Jul 22 20:37:11 BRT 2010;Tue Jul 27 16:34:45 BRT 2010;4;
mislav;will_paginate;closed;null;Fri Jul 16 12:46:28 BRT 2010;Sat Jul 17 00:20:14 BRT 2010;0;
mislav;will_paginate;closed;Michael Schuerig;Tue Jun 22 06:44:01 BRT 2010;Wed Jul 27 04:05:52 BRT 2011;399;
mislav;will_paginate;closed;Kristian Mandrup;Tue Jun 15 07:02:37 BRT 2010;Tue Jun 15 15:08:54 BRT 2010;0;
mislav;will_paginate;closed;Andriy Bazyuta;Mon Jun 07 12:05:42 BRT 2010;Tue Aug 09 10:53:36 BRT 2011;427;
mislav;will_paginate;closed;Voloshin Ruslan;Mon May 31 02:59:53 BRT 2010;Tue Jun 15 08:10:09 BRT 2010;15;
mislav;will_paginate;closed;Stephen H. Gerstacker;Wed May 26 15:11:03 BRT 2010;Wed May 26 15:27:20 BRT 2010;0;
mislav;will_paginate;closed;Stefano Cobianchi;Mon May 24 06:10:25 BRT 2010;Wed May 26 12:57:27 BRT 2010;2;
mislav;will_paginate;closed;Fredrik Wärnsberg;Thu May 06 11:53:20 BRT 2010;Thu May 06 21:13:42 BRT 2010;0;
mislav;will_paginate;closed;Alex Crichton;Wed Apr 28 04:11:11 BRT 2010;Tue Jul 26 18:30:24 BRT 2011;454;
mislav;will_paginate;closed;null;Tue Apr 27 21:58:59 BRT 2010;Tue Aug 09 11:18:03 BRT 2011;468;
mislav;will_paginate;closed;Conrad Taylor;Mon Apr 26 07:03:47 BRT 2010;Mon Apr 26 07:08:40 BRT 2010;0;
mislav;will_paginate;open;junaid;Fri Apr 23 07:24:24 BRT 2010;null;1996;
mislav;will_paginate;closed;Time For A Change;Thu Apr 22 10:45:00 BRT 2010;Sat Apr 24 17:27:33 BRT 2010;2;
mislav;will_paginate;closed;Markus Schirp;Wed Apr 21 16:54:29 BRT 2010;Sun Jan 11 11:15:58 BRST 2015;1725;
mislav;will_paginate;closed;James Alexander Rosen;Sun Apr 18 20:07:14 BRT 2010;Sun Apr 18 20:14:02 BRT 2010;0;
mislav;will_paginate;closed;Shogun;Sat Apr 17 10:51:07 BRT 2010;Tue Jul 26 18:30:08 BRT 2011;465;
mislav;will_paginate;closed;Chris;Thu Apr 08 05:15:36 BRT 2010;Tue Aug 09 11:10:10 BRT 2011;488;
mislav;will_paginate;closed;Echeyde Cubillo;Wed Apr 07 22:11:18 BRT 2010;Thu Apr 08 07:17:29 BRT 2010;0;
mislav;will_paginate;closed;James Alexander Rosen;Mon Apr 05 17:17:30 BRT 2010;Mon Apr 05 17:22:20 BRT 2010;0;
mislav;will_paginate;closed;Time For A Change;Sun Apr 04 09:02:28 BRT 2010;Wed Jul 27 04:27:36 BRT 2011;478;
mislav;will_paginate;closed;Michael Moen;Sat Apr 03 18:17:42 BRT 2010;Mon Apr 19 05:14:39 BRT 2010;15;
mislav;will_paginate;open;Matthew Nielsen;Mon Mar 29 13:24:42 BRT 2010;null;2021;
mislav;will_paginate;closed;Kai Chen => ??;Mon Mar 22 00:11:01 BRT 2010;Wed Mar 24 09:50:42 BRT 2010;2;
mislav;will_paginate;closed;Wojciech Wn?trzak;Thu Mar 18 09:01:08 BRT 2010;Thu Mar 18 09:05:26 BRT 2010;0;
mislav;will_paginate;closed;Paul Beccio;Mon Mar 15 18:39:17 BRT 2010;Fri Oct 15 17:46:50 BRT 2010;213;
mislav;will_paginate;closed;Joshua Partogi;Thu Mar 11 06:58:17 BRT 2010;Tue Jul 26 18:29:54 BRT 2011;502;
mislav;will_paginate;closed;Michael Kirk;Sat Mar 06 07:06:39 BRT 2010;Wed Mar 10 01:27:59 BRT 2010;3;
mislav;will_paginate;closed;Leonhardt Wille;Mon Feb 22 15:09:01 BRT 2010;Wed Aug 10 11:30:16 BRT 2011;533;
mislav;will_paginate;closed;Alexander;Fri Feb 19 01:20:05 BRST 2010;Fri Feb 19 21:51:23 BRST 2010;0;
mislav;will_paginate;closed;Rafael Magaña;Tue Feb 16 18:21:23 BRST 2010;Fri Feb 19 19:23:02 BRST 2010;3;
mislav;will_paginate;closed;Stephen Blackstone;Thu Feb 04 00:23:28 BRST 2010;Tue Aug 09 11:12:56 BRT 2011;551;
mislav;will_paginate;closed;Pratik;Sat Jan 16 17:13:25 BRST 2010;Fri Feb 05 08:36:06 BRST 2010;19;
mislav;will_paginate;closed;Brenton 'B-Train' Fletcher;Tue Jan 12 23:56:56 BRST 2010;Wed Jul 07 11:45:41 BRT 2010;175;
mislav;will_paginate;closed;David Ang;Mon Jan 04 02:42:56 BRST 2010;Fri Feb 05 08:40:41 BRST 2010;32;
mislav;will_paginate;open;Chap Lovejoy;Tue Dec 22 19:22:22 BRST 2009;null;2118;
mislav;will_paginate;closed;null;Tue Dec 15 12:51:09 BRST 2009;Wed Dec 16 12:15:34 BRST 2009;0;
mislav;will_paginate;closed;Jérôme Lipowicz;Sat Dec 12 15:19:55 BRST 2009;Thu Sep 09 11:01:08 BRT 2010;270;
mislav;will_paginate;closed;Dan Haughey;Tue Dec 01 08:45:33 BRST 2009;Fri Feb 05 08:34:27 BRST 2010;65;
mislav;will_paginate;closed;Richie Vos;Mon Nov 30 00:51:14 BRST 2009;Mon Nov 30 06:58:15 BRST 2009;0;
mislav;will_paginate;closed;Mike Enriquez;Thu Nov 19 11:54:18 BRST 2009;Thu Sep 09 11:05:15 BRT 2010;293;
mislav;will_paginate;closed;Adam Murray;Wed Nov 04 20:17:33 BRST 2009;Tue Aug 09 09:52:27 BRT 2011;642;
mislav;will_paginate;closed;null;Wed Nov 04 09:11:45 BRST 2009;Thu Jan 10 01:06:21 BRST 2013;1162;
mislav;will_paginate;closed;Rick Lloyd;Fri Oct 30 23:35:15 BRST 2009;Mon Nov 16 07:35:18 BRST 2009;16;
mislav;will_paginate;closed;Benoit C.;Mon Oct 26 07:54:54 BRST 2009;Fri Feb 05 08:43:03 BRST 2010;102;
mislav;will_paginate;closed;Claudio Poli;Thu Oct 08 08:27:54 BRT 2009;Mon Nov 16 07:36:38 BRST 2009;38;
mislav;will_paginate;closed;Yorick Holkamp;Sat Sep 26 12:27:48 BRT 2009;Sun Sep 27 06:42:25 BRT 2009;0;
mislav;will_paginate;closed;Gabriel Sobrinho;Mon Sep 14 17:35:04 BRT 2009;Thu Jul 28 13:55:29 BRT 2011;681;
mislav;will_paginate;closed;Sébastien Grosjean;Sun Aug 23 14:02:53 BRT 2009;Wed Aug 03 11:24:21 BRT 2011;709;
